Index,V1,V2,V3,V4
0,281673.0,239817.0,88606.0,139727.0
1,281536.0,1044538.0,88525.0,139744.0
2,282007.0,240405.0,88395.0,139629.0
3,281940.0,240117.0,88616.0,139580.0
4,282023.0,240142.0,88702.0,139289.0
5,522274.0,239978.0,88573.0,139673.0
6,281742.0,239785.0,88519.0,139796.0
7,281869.0,239785.0,88592.0,139618.0
8,282013.0,240122.0,88736.0,139589.0
9,282147.0,240176.0,88676.0,139632.0
10,282262.0,240026.0,88729.0,139587.0
11,282476.0,240019.0,88555.0,139522.0
12,282508.0,240119.0,88649.0,139550.0
13,282096.0,239980.0,88920.0,139834.0
14,281797.0,239944.0,88893.0,261128.0
15,281526.0,239948.0,88693.0,139619.0
16,281581.0,240052.0,88508.0,139443.0
17,281453.0,239995.0,88392.0,139546.0
18,281374.0,239959.0,88580.0,139449.0
19,281560.0,239958.0,88751.0,139516.0
20,281779.0,239798.0,88602.0,139812.0
21,282055.0,239935.0,88581.0,139769.0
22,282271.0,-64600.0,88651.0,139673.0
23,282208.0,239636.0,88533.0,139799.0
24,282197.0,239934.0,88511.0,139621.0
25,282217.0,240088.0,88557.0,139504.0
26,282098.0,240222.0,88605.0,139550.0
27,294786.0,240093.0,88506.0,139423.0
28,281816.0,239826.0,88661.0,139509.0
29,281719.0,239899.0,88706.0,139566.0
30,281492.0,240059.0,88761.0,139479.0
31,281479.0,240058.0,88761.0,139172.0
32,281882.0,240262.0,88832.0,139426.0
33,282267.0,240255.0,88849.0,139610.0
34,282338.0,240277.0,88729.0,139676.0
35,282575.0,240220.0,88750.0,139676.0
36,282440.0,240128.0,88483.0,139591.0
37,282346.0,240086.0,88489.0,139624.0
38,282383.0,240048.0,88531.0,147392.0
39,281971.0,240310.0,88502.0,139555.0
40,281856.0,240090.0,88549.0,139643.0
41,281891.0,239928.0,88663.0,139856.0
42,281732.0,239910.0,88638.0,139718.0
43,281733.0,239999.0,88557.0,139689.0
44,281942.0,240636.0,88649.0,139576.0
45,282076.0,239964.0,88910.0,139818.0
46,282284.0,239873.0,88699.0,139809.0
47,282239.0,240061.0,88793.0,139628.0
48,282054.0,240020.0,88795.0,139583.0
49,282608.0,240182.0,88947.0,139795.0
50,282168.0,240068.0,88692.0,139851.0
51,281981.0,240306.0,88641.0,139908.0
52,281880.0,240154.0,88602.0,139983.0
53,281873.0,239881.0,88330.0,139597.0
54,281818.0,239964.0,88388.0,139663.0
55,281680.0,240153.0,88422.0,139618.0
56,281720.0,240006.0,88743.0,139646.0
57,281955.0,240042.0,88723.0,139527.0
58,282263.0,240334.0,88693.0,139627.0
59,282418.0,240343.0,88637.0,139640.0
60,282584.0,240293.0,88772.0,139728.0
61,282270.0,240247.0,88825.0,139770.0
62,282056.0,240153.0,88597.0,139774.0
63,282017.0,240138.0,88503.0,139574.0
64,282055.0,240064.0,88852.0,139710.0
65,281981.0,240185.0,88821.0,139413.0
66,281688.0,240111.0,88481.0,139423.0
67,281557.0,245633.0,88709.0,139505.0
68,281679.0,240286.0,88835.0,139588.0
69,281767.0,240053.0,88766.0,139678.0
70,281929.0,240158.0,88819.0,139795.0
71,282620.0,240419.0,88852.0,139774.0
72,282365.0,240241.0,88717.0,139569.0
73,282429.0,240009.0,88529.0,139661.0
74,282409.0,240015.0,88383.0,139700.0
75,282352.0,240254.0,88377.0,139581.0
76,281885.0,240296.0,88756.0,139442.0
77,281605.0,240132.0,88690.0,139515.0
78,281769.0,240043.0,88465.0,139411.0
79,281822.0,240214.0,88506.0,139374.0
80,281941.0,240098.0,88676.0,139544.0
81,282045.0,240007.0,88769.0,139681.0
82,282187.0,239981.0,88774.0,139929.0
83,282430.0,240015.0,88799.0,139824.0
84,282476.0,240071.0,88728.0,139764.0
85,282542.0,240245.0,88810.0,139913.0
86,282572.0,240316.0,88676.0,139671.0
87,282267.0,240357.0,88775.0,
88,281980.0,240215.0,88744.0,139607.0
89,282094.0,240166.0,88650.0,139567.0
90,281802.0,520221.0,88670.0,139647.0
91,281776.0,240142.0,88692.0,139397.0
92,281551.0,240208.0,88896.0,139536.0
93,281791.0,240131.0,88889.0,139792.0
94,282315.0,240060.0,88383.0,139916.0
95,282248.0,239971.0,88533.0,139992.0
96,282157.0,240003.0,88657.0,140005.0
97,282533.0,240123.0,88563.0,139833.0
98,282579.0,240345.0,88876.0,139681.0
99,282510.0,240370.0,88753.0,139785.0
100,282068.0,240081.0,88545.0,139676.0
101,281850.0,240053.0,88527.0,139566.0
102,281761.0,240042.0,88444.0,139632.0
103,281562.0,240034.0,88498.0,139622.0
104,281602.0,240053.0,88736.0,139312.0
105,281566.0,240042.0,88791.0,139630.0
106,281387.0,239787.0,88586.0,139627.0
107,281727.0,240047.0,88748.0,139690.0
108,282305.0,240318.0,88907.0,139783.0
109,282372.0,240320.0,88761.0,139778.0
110,282519.0,240075.0,88653.0,139755.0
111,282525.0,239838.0,88628.0,196100.0
112,282534.0,239903.0,88786.0,139884.0
113,282099.0,-64599.0,88811.0,139698.0
114,281952.0,240223.0,88789.0,139608.0
115,281783.0,240167.0,88525.0,139550.0
116,,239847.0,88633.0,139565.0
117,281700.0,239978.0,88686.0,139734.0
118,282103.0,240109.0,88923.0,139637.0
119,282779.0,240120.0,89030.0,139551.0
120,283081.0,240104.0,89045.0,139704.0
121,282959.0,240111.0,88590.0,139797.0
122,282743.0,240358.0,88644.0,139712.0
123,282519.0,240281.0,88790.0,139656.0
124,282203.0,240076.0,88538.0,139506.0
125,282159.0,240276.0,88445.0,139675.0
126,281851.0,240308.0,88446.0,139654.0
127,282107.0,240142.0,88470.0,139446.0
128,281963.0,240082.0,88626.0,139523.0
129,282074.0,239943.0,88846.0,139671.0
130,282302.0,240049.0,88770.0,139655.0
131,282351.0,240304.0,88614.0,139388.0
132,282472.0,240215.0,88551.0,139612.0
133,282645.0,240095.0,88476.0,139808.0
134,282670.0,239927.0,88636.0,139474.0
135,282759.0,240636.0,88737.0,143344.0
136,282683.0,240254.0,88912.0,139944.0
137,282805.0,240158.0,88837.0,139805.0
138,1044548.0,240071.0,88791.0,139511.0
139,282163.0,240041.0,88652.0,139629.0
140,282046.0,239972.0,88616.0,139711.0
141,282348.0,239895.0,88747.0,139528.0
142,282485.0,240046.0,88894.0,139660.0
143,282617.0,240317.0,88833.0,139841.0
144,282990.0,240135.0,88826.0,139938.0
145,283182.0,240137.0,88775.0,139944.0
146,283464.0,240041.0,88714.0,139841.0
147,283532.0,240135.0,88602.0,139794.0
148,283358.0,240309.0,88622.0,139857.0
149,283056.0,240433.0,88794.0,139830.0
150,282904.0,240403.0,88828.0,139674.0
151,282675.0,240286.0,88685.0,139671.0
152,282473.0,240142.0,88434.0,139694.0
153,282695.0,240227.0,88498.0,139755.0
154,283009.0,240336.0,88749.0,139560.0
155,283098.0,240058.0,88827.0,139494.0
156,283222.0,240186.0,88586.0,139572.0
157,283631.0,240202.0,88705.0,139806.0
158,283609.0,245696.0,88612.0,139737.0
159,283780.0,240144.0,88735.0,139903.0
160,327428.0,240077.0,88655.0,-130527.0
